Mammographic Density Phenotypes and Risk of Breast Cancer  A Meta-analysis.txt	mammograph density breast cancer
Mesothelioma and Lung Cancer Among Motor Vehicle Mechanics  a Meta-analysis.txt	mesothelioma lung cancer
Meta-analyses of Observational and Genetic Association Studies of Folate Intakes or Levels and Breast Cancer Risk.txt	folate breast cancer
Meta-analysis  Dietary Fat Intake  Serum Estrogen Levels  and the Risk of Breast Cancer.txt	fat estrogen breast cancer
Meta-Analysis of Efficacy of Interventions for Elevated Depressive Symptoms in Adults Diagnosed With Cancer.txt	depression cancer
Meta-Analysis of Magnetic Resonance Imaging in Detecting Residual Breast Cancer After Neoadjuvant Therapy.txt	magnetic resonance imaging breast cancer
Meta-analysis of Risk Reduction Estimates Associated With Risk-Reducing Salpingo-oophorectomy in BRCA1 or BRCA2 Mutation Carriers.txt	salpingo-oophorectomy mutation carriers
Meta-Analysis of Soy Intake and Breast Cancer Risk.txt	soy breast cancer
Migraine and Breast Cancer Risk  A Prospective Cohort Study and Meta-Analysis.txt	migraine breast cancer
Modifiers of Cancer Risk in BRCA1 and BRCA2 Mutation Carriers  A Systematic Review and Meta-Analysis.txt	mutation carriers cancer
Multidrug Resistance in Breast Cancer  a Meta-analysis of MDR1 gp170 Expression and Its Possible Functional Significance.txt	MDFR1 gp170 breast cancer
Multiple-Treatments Meta-analysis of Chemotherapy and Targeted Therapies in Advanced Breast Cancer.txt	chemotherapy advanced breast cancer
Neoadjuvant Versus Adjuvant Systemic Treatment in Breast Cancer  A Meta-Analysis.txt	neoadjuvant adjuvant breast cancer
Non-steroidal Anti-inflammatory Drug Use and the Risk of Gastric Cancer  A Systematic Review and Meta-analysis.txt	anti-inflammatory drug gastric cancer
Oral Nutritional Interventions in Malnourished Patients With Cancer  A Systematic Review and Meta-Analysis.txt	malnourished patients cancer
Physical Activity and Risks of Proximal and Distal Colon Cancers  A Systematic Review and Meta-analysis.txt	physical activity colon cancer
Portal Vein Chemotherapy for Colorectal Cancer  a Meta-analysis of 4000 Patients in 10 Studies.txt	portal vein chemotherapy colorectal cancer
Processed Meat Consumption and Stomach Cancer Risk  A Meta-Analysis.txt	processed meat stomach cancer
Prognostic Role of Neutrophil-to-Lymphocyte Ratio in Solid Tumors  A Systematic Review and Meta-Analysis.txt	neutrophil lymphocyte tumors
Progression-Free Survival as a Surrogate for Overall Survival in Advanced Recurrent Gastric Cancer Trials  A Meta-Analysis.txt	progression-free survival gastric cancer
Prospective Studies of Dairy Product and Calcium Intakes and Prostate Cancer Risk  A Meta-Analysis.txt	dairy prostate cancer
Psychological Impact of Genetic Counseling for Familial Cancer  A Systematic Review and Meta-analysis.txt	genetic counseling familial cancer
Recombinant Human Erythropoietin and Overall Survival in Cancer Patients  Results of a Comprehensive Meta-analysis.txt	recombinant erythropoietin cancer
Recombinant Human Erythropoietins and Cancer Patients  Updated Meta-Analysis of 57 Studies Including 9353 Patients.txt	recombinant erythropoietin cancer
Risk Prediction for Late-Stage Ovarian Cancer by Meta-analysis of 1525 Patient Samples.txt	risk prediction ovarian cancer
Survival Benefits With Diverse Chemotherapy Regimens for Ovarian Cancer  Meta-analysis of Multiple Treatments.txt	chemotherapy ovarian cancer
Survival With Aromatase Inhibitors and Inactivators Versus Standard Hormonal Therapy in Advanced Breast Cancer  Meta-analysis.txt	aromatase hormonal therapy breast cancer
Systematic Meta-Analyses and Field Synopsis of Genetic Association Studies in Colorectal Cancer.txt	genetic colorectal cancer
Television Viewing and Time Spent Sedentary in Relation to Cancer Risk  A Meta-Analysis.txt	television sedentary cancer
Telomerase Reverse Transcriptase Locus Polymorphisms and Cancer Risk  A Field Synopsis and Meta-Analysis.txt	telomerase reverse transcriptase cancer
The Role of Adjuvant Radiation Therapy for Stage I Endometrial Cancer  Does Meta-Analysis Reveal the Answer .txt	radiation therapy endometrial cancer
Toxicity of Adjuvant Endocrine Therapy in Postmenopausal Breast Cancer Patients  A Systematic Review and Meta-analysis.txt	endocrine therapy breast cancer
Weight Gain After Breast Cancer Diagnosis and All-Cause Mortality  Systematic Review and Meta-Analysis.txt	weight gain breast cancer
